id,text,label
row_201,The tennis tournament final drew a record television audience.,Sports
row_202,Solara Industries announced a merger with a rival firm worth billions.,Business
row_203,Shares of Solara Industries tumbled after disappointing earnings guidance.,Business
row_204,"The unemployment rate fell to its lowest level in a decade, boosting markets.",Business
row_205,Diplomats from Japan and Italy resumed peace talks this week.,World
row_206,The the Harbor City FC clinched the championship after a dramatic overtime win.,Sports
row_207,Okafor scored a hat-trick to lead the Harbor City FC to victory in the final.,Sports
row_208,The stock market rallied after positive manufacturing sector earnings.,Business
row_209,Engineers successfully tested a prototype AI chip in a controlled environment.,Sci/Tech
row_210,United Nations officials called for an immediate ceasefire in the capital.,World
row_211,United Nations officials called for an immediate ceasefire in the disputed territory.,World
row_212,Shares of Vertex Financial tumbled after disappointing earnings guidance.,Business
row_213,Researchers unveiled a new AI chip that could transform transportation.,Sci/Tech
row_214,Engineers successfully tested a prototype wearable device in a controlled environment.,Sci/Tech
row_215,A humanitarian convoy reached the coastal province after being delayed at the border.,World
row_216,Coach Kowalski announced retirement after two decades in football.,Sports
row_217,Fans celebrated as the Harbor City FC lifted the trophy for the third year running.,Sports
row_218,Coach Petrov announced retirement after two decades in rugby.,Sports
row_219,Northwind Retail plans to cut 7 jobs as part of a restructuring effort.,Business
row_220,Researchers unveiled a new battery technology that could transform transportation.,Sci/Tech
row_221,United Nations officials called for an immediate ceasefire in the capital.,World
row_222,Coach Petrov announced retirement after two decades in football.,Sports
row_223,BrightPeak Corp launched an updated wearable device with improved battery life.,Sci/Tech
row_224,The ambassador met with foreign ministers to discuss the ongoing crisis in the coastal province.,World
row_225,Northwind Retail plans to cut 7 jobs as part of a restructuring effort.,Business
row_226,Diplomats from Egypt and South Korea resumed peace talks this week.,World
row_227,the Summit Wolves secured a playoff spot with a last-minute goal against their rivals.,Sports
row_228,Diplomats from India and Mexico resumed peace talks this week.,World
row_229,BrightPeak Corp reported quarterly revenue growth of 20% driven by strong demand.,Business
row_230,Solara Industries launched an updated AI chip with improved battery life.,Sci/Tech
row_231,The foreign minister met with foreign ministers to discuss the ongoing crisis in the disputed territory.,World
row_232,Scientists discovered a breakthrough in genomics research this week.,Sci/Tech
row_233,Engineers successfully tested a prototype quantum processor in a controlled environment.,Sci/Tech
row_234,Fans celebrated as the Summit Wolves lifted the trophy for the third year running.,Sports
row_235,Coach Kowalski announced retirement after two decades in basketball.,Sports
row_236,the Summit Wolves secured a playoff spot with a last-minute goal against their rivals.,Sports
row_237,"The unemployment rate fell to its lowest level in a decade, boosting markets.",Business
row_238,A new study shows quantum processor adoption is accelerating across agriculture.,Sci/Tech
row_239,Injuries forced Kowalski out of the upcoming rugby season opener.,Sports
